,time,time_step,left.position.x,left.position.y,left.position.z,left.quaternion.w,left.quaternion.x,left.quaternion.y,left.quaternion.z,left.force.x,left.force.y,left.force.z,left.torque.x,left.torque.y,left.torque.z,left.ee_pose_k.x,left.ee_pose_k.y,left.ee_pose_k.z,left.ee_orient_k.w,left.ee_orient_k.x,left.ee_orient_k.y,left.ee_orient_k.z,left.lin_velocity_mag,left.ang_velocity_mag,right.position.x,right.position.y,right.position.z,right.quaternion.w,right.quaternion.x,right.quaternion.y,right.quaternion.z,right.force.x,right.force.y,right.force.z,right.torque.x,right.torque.y,right.torque.z,right.ee_pose_k.x,right.ee_pose_k.y,right.ee_pose_k.z,right.ee_orient_k.w,right.ee_orient_k.x,right.ee_orient_k.y,right.ee_orient_k.z,right.lin_velocity_mag,right.ang_velocity_mag,left.model.position.x,left.model.position.y,left.model.position.z,left.model.triangle_id,left.model.distance,right.model.position.x,right.model.position.y,right.model.position.z,right.model.triangle_id,right.model.distance
0,0.0,0.03333333333333333,0.01050843901517226,-0.09938215099834087,-0.08849097474424779,-0.5156717983202679,-0.07603684246034188,0.18003045267580267,0.8342002344252534,-11.33039656062141,-1.8115915203420376,33.38813216897191,0.49891430210767806,1.3680121940472572,0.21806826547761873,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.0,0.0,0.01050843901517226,-0.09938215099834087,-0.08849097474424779,-0.8342002344252534,0.18003045267580264,-0.0760368424603419,0.5156717983202678,10.793175792904012,-2.4104578273032837,32.74625161631685,-0.5406554203869919,1.3524553607554666,0.26593915494331744,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.0,0.0,0.17511391509081248,0.4452101728137709,0.37967591209541657,6836,0.018026624715896406,0.3796759120954162,0.44521017281376823,0.1751139150908156,13725,0.018026624715896406
1,0.033384493894355244,0.03333333333333333,0.010283965872395308,-0.09902096751997307,-0.08856542032329325,-0.5154407739991427,-0.07608422548964106,0.18068662495460472,0.834196824912035,-11.472960227344513,-1.427480656154779,33.55710114477616,0.47596153219137455,1.3786404835823685,0.19142433455894492,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.009670188834966453,0.022830248106053292,0.010283965872395308,-0.09902096751997307,-0.08856542032329325,-0.834196824912035,0.1806866249546047,-0.07608422548964108,0.5154407739991426,11.151322971382276,-2.011213622662453,33.174171984753556,-0.5128280082007827,1.3628265829499937,0.23402522863285163,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.008756181963475688,0.020070714725248195,0.15162339851773116,0.45327191322933064,0.39510468825293826,6836,0.018144542917644047,0.3951046882529386,0.45327191322932964,0.15162339851773182,13725,0.018144542917644047
2,0.06676898778871049,0.03333333333333333,0.009623429172467099,-0.09801829326564189,-0.08872200337699312,-0.5150574913907048,-0.07616413688706367,0.18178401629608337,0.834187854283331,-12.009008329074804,-0.28318521724951395,34.33939370853472,0.4073964177026593,1.41876882751301,0.109304469626819,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.0310763348204291,0.07391340243437097,0.009623429172467099,-0.09801829326564189,-0.08872200337699312,-0.8341878542833309,0.18178401629608346,-0.07616413688706364,0.5150574913907051,11.615523894067616,-1.0433697919675202,33.72607012058041,-0.4530087622750711,1.3892687731174795,0.16478040364027113,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.03424071764398529,0.08053772163211816,0.08431312252358797,0.4775467839453772,0.43814009353103484,6836,0.018428125225135927,0.43814009353103844,0.47754678394537675,0.0843131225235848,13725,0.018428125225135927
3,0.10015348168306573,0.03333333333333333,0.008938584520789888,-0.09712789668560651,-0.08873670800810772,-0.5146258197459298,-0.07627206717576489,0.18314784835205064,0.8341460921586695,-13.128022961894574,1.1900650579838317,36.34766025851993,0.3308733947127739,1.4933380629747368,0.007281859048232843,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.039566973997003034,0.09770930816899685,0.008938584520789888,-0.09712789668560651,-0.08873670800810772,-0.8341460921586696,0.18314784835205064,-0.07627206717576494,0.5146258197459298,12.819436413768775,0.8295136308979065,35.78788159567739,-0.34647533155160826,1.4749252101042925,0.02946116124274761,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.03131316592666607,0.07600420789667474,0.019299880389477275,0.5041102584900896,0.4765898611204331,6836,0.018572087789348983,0.47658986112043517,0.5041102584900848,0.01929988038948005,13725,0.018572087789348983
4,0.13353797557742098,0.03333333333333333,0.008395172759152358,-0.09603104043217518,-0.08865502239473386,-0.514117830009095,-0.0761872592108741,0.18516103391492564,0.8340226315395944,-14.064737739665057,2.6293952918219703,37.99081855450264,0.2593918953898322,1.560853809301811,-0.09133147175835116,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.050390688926559735,0.12954863835025499,0.008395172759152358,-0.09603104043217518,-0.08865502239473386,-0.8340226315395945,0.18516103391492567,-0.07618725921087405,0.5141178300090952,13.750673624842717,2.0900058884458637,37.44912873793256,-0.28733167663188586,1.536302362573496,-0.053114457452316535,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.03294778277891067,0.08418688732134028,0.4665820139346831,0.4782615061001628,0.05515647996515407,6837,0.01869322081653405,0.05515647996515201,0.47826150610016405,0.4665820139346839,13724,0.01869322081653405
5,0.16692246947177622,0.03333333333333333,0.007881899094036459,-0.0943559137278455,-0.08857135568014089,-0.5135614706149868,-0.07565571465195028,0.1877552457025418,0.8338337942608545,-14.608753204028563,4.566198923912356,39.32195624318656,0.1509268708963576,1.64673455020711,-0.22877733682938062,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.06197521529087544,0.16808837364026008,0.007881899094036459,-0.0943559137278455,-0.08857135568014089,-0.8338337942608545,0.18775524570254187,-0.07565571465195024,0.513561470614987,14.493777529257981,3.867491809555217,38.92723230712964,-0.19118949252206807,1.6160699031186179,-0.1791629114468832,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.05980576815311322,0.1589925381533337,0.4334831159084625,0.40934743419198866,0.15716944989954879,6837,0.01889547869327897,0.1571694498995487,0.40934743419199104,0.4334831159084602,13724,0.01889547869327897
6,0.20030696336613146,0.03333333333333333,0.007614942415466986,-0.09274159027970205,-0.08850827973738656,-0.5130232510979176,-0.07486029755730439,0.19034474009773855,0.833649782342489,-14.77136101398651,5.983881975697987,40.28576996440443,0.06201530459294921,1.7372246775838551,-0.3530501264037347,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.05831418160350078,0.16159318599189887,0.007614942415466986,-0.09274159027970205,-0.08850827973738656,-0.833649782342489,0.19034474009773855,-0.07486029755730443,0.5130232510979176,14.747544946392827,5.624394006983742,40.00122507182395,-0.08633977693179815,1.7073119374397288,-0.3157209443078064,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.06292462767649865,0.1739764140680546,0.4146106813006408,0.34130245098155776,0.2440868677178014,6837,0.019048358783896064,0.24408686771780716,0.34130245098155537,0.41461068130063744,13724,0.019048358783896064
7,0.2336914572604867,0.03333333333333333,0.00767755158234806,-0.09166668418043114,-0.08829445220954157,-0.5126404918250272,-0.07405521730113496,0.19216744611325084,0.8335389754451717,-14.61728336366882,7.0452950963647645,40.94429024600589,0.01665746497541663,1.8261972892029947,-0.4418810051789312,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.04043540658553783,0.11227533347198668,0.00767755158234806,-0.09166668418043114,-0.08829445220954157,-0.8335389754451717,0.19216744611325082,-0.07405521730113501,0.512640491825027,14.706230222624505,6.694332520388499,40.7573025514954,-0.027174148614758455,1.7966673534654882,-0.4161301568392971,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.04884833665955105,0.13567997274624188,0.41537389020118093,0.2943102790061686,0.2903158307926505,6837,0.01891518474805953,0.2903158307926524,0.29431027900616624,0.41537389020118143,13724,0.01891518474805953
8,0.26707595115484195,0.03333333333333333,0.008108616748625858,-0.09119196896126171,-0.08793786121572066,-0.5124685476558085,-0.07329603199254449,0.19308962467247767,0.8334986959807053,-14.085255230712177,7.7063267965442455,41.23749738238129,0.0058516731766610946,1.9155191133843947,-0.4950999765695631,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.027617601960211274,0.06655715866705468,0.008108616748625858,-0.09119196896126171,-0.08793786121572066,-0.833498695980705,0.1930896246724777,-0.07329603199254442,0.5124685476558086,14.306795867712655,7.551292234442639,41.18438766144884,-0.005996227256367951,1.885623169162448,-0.4813659150440642,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.031024009676944003,0.08095638855390835,0.4380619090251186,0.27109123911850946,0.290846851856372,6837,0.01848845129574857,0.29084685185637466,0.2710912391185063,0.438061909025119,13724,0.01848845129574857
9,0.3004604450491972,0.03333333333333333,0.008928273337974522,-0.0909276860637004,-0.08766757696098054,-0.5123811457792895,-0.0726442767594261,0.19359366627635324,0.8334925691820427,-13.142060419118273,7.948102975977764,41.01312096201881,0.0018626670844657605,1.9822852978335679,-0.5208163024956926,0.0254,-0.11938,0.0381,0.9659257972493452,0.25881915348021844,0.0,0.0,0.024470274501280868,0.04799997861051559,0.008928273337974522,-0.0909276860637004,-0.08766757696098054,-0.8334925691820425,0.19359366627635327,-0.07264427675942606,0.5123811457792897,13.502887506414986,7.904732167311809,41.151864032666275,-0.0037848930907099995,1.9638501777199548,-0.5148251702953773,0.0254,0.11938,0.0381,0.9659257972493452,-0.25881915348021844,-0.0,-0.0,0.02504383131537028,0.05169069440471236,0.48332559382137885,0.25489229235220484,0.26178211382641636,6837,0.018027961385909955,0.26178211382641886,0.25489229235220195,0.48332559382137913,13724,0.018027961385909955
